Status,Date,Description,Debit,Credit
Cleared,7/22/2025,HEART POP UPLAND CA null XXXXXXXXXXXX5782,70.04,
Cleared,7/21/2025,TJ MAXX #1077 TUSTIN CA null XXXXXXXXXXXX5782,38.77,
Cleared,7/20/2025,CHEVRON 0201095 IRVINE CA null XXXXXXXXXXXX3233,7.38,
Cleared,7/19/2025,PETSMART # 1314 TUSTIN CA null XXXXXXXXXXXX3233,11.18,
Cleared,7/19/2025,THE TOLL ROADS OF OC 949-727-4800 CA,13.96,
Cleared,7/19/2025,SQ *ALTERNATIVE RETAIL Tustin CA null XXXXXXXXXXXX3233,260.76,
Cleared,7/17/2025,ABC*PLANET FITNESS ON ONTARIO CA,13.03,
Cleared,7/16/2025,ULTA #663 MIRA LOMA CA null XXXXXXXXXXXX5782,64.62,
Cleared,7/15/2025,THE TOLL ROADS OF OC 949-727-4800 CA,14.78,
Cleared,7/12/2025,VISIBLE 8663313527 CO null XXXXXXXXXXXX6872,35,
Cleared,7/12/2025,THE TOLL ROADS OF OC 949-727-4800 CA,6.98,
Cleared,7/11/2025,MonkeySports - CA Irvine CA null XXXXXXXXXXXX3233,215.46,
Cleared,7/10/2025,WF*EASTVALESMILES EASTVALE CA null XXXXXXXXXXXX5782,462,
Cleared,7/9/2025,LS PHARM BOARDSHOP RANCHO CUCAMO CA null XXXXXXXXXXXX5782,107.64,
Cleared,7/8/2025,AIR CLEANER SUPPLY 7027769298 NV,,-17.3
Cleared,7/8/2025,THE TOLL ROADS OF OC 949-727-4800 CA,15.18,
Cleared,7/8/2025,CORONA MAIN OFFICE- GA CORONA CA null XXXXXXXXXXXX5782,35,
Cleared,7/8/2025,AIR CLEANER SUPPLY 7027769298 NV,173.04,
Cleared,7/7/2025,VISIBLE 8663313527 CO null XXXXXXXXXXXX6872,35,
Cleared,7/6/2025,RALPHS #0045 EASTVALE CA null XXXXXXXXXXXX5782,41.74,
Cleared,7/6/2025,PETSMART # 1341 MIRALOMA CA null XXXXXXXXXXXX5782,1.08,
Cleared,7/6/2025,MICHAELS STORES 1317 IRVINE CA null XXXXXXXXXXXX5782,9.68,
Cleared,7/6/2025,PET SUPPLY IRVINE CA null XXXXXXXXXXXX5782,8.07,
Cleared,7/6/2025,PAYPAL *ALIPAYUSINC 4029357733 CA null XXXXXXXXXXXX8688,28.26,
Cleared,7/5/2025,GOOGLE *Google One 650-253-0000 CA,2.99,
Cleared,7/5/2025,THE TOLL ROADS OF OC 949-727-4800 CA,7.35,
Cleared,7/4/2025,GOOGLE *Google One 650-253-0000 CA,2.99,
Cleared,7/4/2025,TST*MARINE ROOM TAVERN Laguna Beach CA,84,
Cleared,7/3/2025,LiveBarn Clarks green PA null XXXXXXXXXXXX7567,23.95,
Cleared,7/3/2025,HOMEGOODS #0539 EASTVALE CA null XXXXXXXXXXXX5782,176.6,
Cleared,7/3/2025,FOREIGN TRANSACTION FEE,0.15,
Cleared,7/1/2025,AUTOPAY 200226010559795RAUTOPAY AUTO-PMT,,-2644.09
Cleared,7/1/2025,RED ROBIN NO 671 TUSTIN CA,40,
Cleared,7/1/2025,CLR*9ROUND 951-536431 EASTVALE CA,69,
Cleared,6/30/2025,THE TOLL ROADS OF OC 949-727-4800 CA,7.21,
Cleared,6/30/2025,CITY OF ONTARIO 9093952050 CA,132.46,
Cleared,6/30/2025,THE RINKS - IRVINE INL IRVINE CA null XXXXXXXXXXXX5782,3,
Cleared,6/27/2025,ANTHEM EXPRESS WASH ONTARIO CA null XXXXXXXXXXXX3233,10,
Cleared,6/27/2025,BATH AND BODY WORKS 26 EASTVALE CA null XXXXXXXXXXXX5782,44.55,
Cleared,6/25/2025,Tesla Insurance Servic Fremont CA null XXXXXXXXXXXX9582,352.93,
Cleared,6/25/2025,SP ZEAL RACING PALMDALE CA null XXXXXXXXXXXX3809,50.41,
Cleared,6/25/2025,SP REVRIDES VANCOUVER WA null XXXXXXXXXXXX3809,344.6,
Cleared,6/25/2025,PP*SPOTIFY*P38021D8C6 4029357733 NY null XXXXXXXXXXXX8688,19.99,
Cleared,6/23/2025,WF*EASTVALESMILES EASTVALE CA null XXXXXXXXXXXX5782,117.2,
Cleared,6/23/2025,THE TOLL ROADS OF OC 949-727-4800 CA,6.84,
Cleared,6/23/2025,SCAL KAISER ONLINE PAY PASADENA CA,732.62,
Cleared,6/21/2025,SP TRUECLASSICTEES.C BEVERLY HILLS CA null XXXXXXXXXXXX0135,111.72,
Cleared,6/20/2025,SQ *ANGELS STADIUM OSS ANAHEIM CA null XXXXXXXXXXXX3233,20,
Cleared,6/19/2025,THE TOLL ROADS OF OC 949-727-4800 CA,14.7,
Cleared,6/17/2025,ABC*PLANET FITNESS ON ONTARIO CA,13.03,
Cleared,6/17/2025,HOMEGOODS #0539 EASTVALE CA null XXXXXXXXXXXX5782,30.14,
Cleared,6/16/2025,TST* GIGI'S AT V RESTA PALM SPRINGS CA,22.66,
Cleared,6/15/2025,UFURIA RANCHO CUCAMO CA null XXXXXXXXXXXX0732,38.95,
Cleared,6/13/2025,THE TOLL ROADS OF OC 949-727-4800 CA,13.68,
Cleared,6/12/2025,VISIBLE 8663313527 CO null XXXXXXXXXXXX6872,35,
Cleared,6/12/2025,DUTCHBROS.COFFEE GRANTS PASS OR null XXXXXXXXXXXX5782,5.35,
Cleared,6/12/2025,WF*EASTVALESMILES EASTVALE CA null XXXXXXXXXXXX3233,877.6,
Cleared,6/10/2025,WALGREENS #6147 ONTARIO CA null XXXXXXXXXXXX3233,16.66,
Cleared,6/10/2025,CORONA MAIN OFFICE- GA CORONA CA,40,
Cleared,6/8/2025,VISIBLE 8663313527 CO null XXXXXXXXXXXX6872,10,
Cleared,6/7/2025,VISIBLE 8663313527 CO null XXXXXXXXXXXX6872,35,
Cleared,6/6/2025,"LAGUNA, 2872929001 HVAR HRV",5.17,
Cleared,6/5/2025,GOOGLE *Google One 650-253-0000 CA,2.99,
Cleared,6/4/2025,GOOGLE *Google One 650-253-0000 CA,2.99,
Cleared,6/4/2025,FOREIGN TRANSACTION FEE,1.55,
Cleared,6/3/2025,LiveBarn Clarks green PA null XXXXXXXXXXXX7567,23.95,
Cleared,6/1/2025,AUTOPAY 200226010559795RAUTOPAY AUTO-PMT,,-4790.06
Cleared,6/1/2025,CLR*9ROUND 951-536431 EASTVALE CA,69,
Cleared,5/30/2025,VISIBLE 8663313527 CO null XXXXXXXXXXXX6872,10,
Cleared,5/30/2025,CITY OF ONTARIO 9093952050 CA,137.26,
Cleared,5/29/2025,ALOYOGA* ALO YOGA BEVERLY HILLS CA null XXXXXXXXXXXX4894,73.95,
Cleared,5/29/2025,VISIBLE 8663313527 CO null XXXXXXXXXXXX6872,10,
Cleared,5/28/2025,Tesla Insurance Servic Fremont CA null XXXXXXXXXXXX9582,332.1,
Cleared,5/28/2025,VISIBLE 8663313527 CO null XXXXXXXXXXXX6872,10,
Cleared,5/27/2025,VISIBLE 8663313527 CO null XXXXXXXXXXXX6872,10,
Cleared,5/26/2025,Tesla Insurance Servic Fremont CA null XXXXXXXXXXXX9582,,-0.87
Cleared,5/26/2025,Mountain Warehouse Gar Garmisch Part DEU null XXXXXXXXXXXX5782,51.75,
Cleared,5/26/2025,VISIBLE 8663313527 CO null XXXXXXXXXXXX6872,10,
Cleared,5/25/2025,PP*P3720006FF 4029357733 NY null XXXXXXXXXXXX8688,19.99,
Cleared,5/23/2025,VISIBLE 8663313527 CO null XXXXXXXXXXXX6872,10,
Cleared,5/23/2025,THE TOLL ROADS OF OC 949-727-4800 CA,28.84,
Cleared,5/22/2025,WALGREENS #6147 ONTARIO CA,10.09,
Cleared,5/21/2025,AUTHORITY PEST MGMT. MURRIETA CA null XXXXXXXXXXXX4894,89,
Cleared,5/21/2025,7-11 STORE 38766 EASTVALE CA,12,
Cleared,5/21/2025,SPROUTS FARMERS MARK EASTVALE CA null XXXXXXXXXXXX5782,7.53,
Cleared,5/21/2025,SPROUTS FARMERS MARK EASTVALE CA null XXXXXXXXXXXX5782,9.99,
Cleared,5/20/2025,THE TOLL ROADS OF OC 949-727-4800 CA,21.01,
Cleared,5/19/2025,TJ MAXX #1077 TUSTIN CA null XXXXXXXXXXXX5782,25.84,
Cleared,5/18/2025,TJMAXX #0772 ANAHEIM CA null XXXXXXXXXXXX5782,11.84,
Cleared,5/18/2025,GLOSS* JULIAN TINSLEY ANAHEIM CA null XXXXXXXXXXXX5782,420,
Cleared,5/18/2025,CTLP*CSC ServiceWorks PLAINVIEW NY null XXXXXXXXXXXX3233,2.5,
Cleared,5/17/2025,ABC*853-PLANET FITNES ONTARIO CA,13.03,
Cleared,5/17/2025,T J MAXX #1097 RANCHO CUCAMO CA null XXXXXXXXXXXX5782,51.73,
Cleared,5/16/2025,THE TOLL ROADS OF OC 949-727-4800 CA,4.36,
Cleared,5/14/2025,WALGREENS #5478 RANCHO CUCAMO CA null XXXXXXXXXXXX5782,,-27.37
Cleared,5/13/2025,WALGREENS #6147 ONTARIO CA null XXXXXXXXXXXX3233,10.86,
Cleared,5/13/2025,THE TOLL ROADS OF OC 949-727-4800 CA,10.12,
Cleared,5/12/2025,VISIBLE 8663313527 CO null XXXXXXXXXXXX6872,35,
Cleared,5/12/2025,SP ALO-YOGA COMMERCE CA null XXXXXXXXXXXX5782,229.72,
Cleared,5/12/2025,SP VUORI CLOTHING ENCINITAS CA null XXXXXXXXXXXX5782,269.81,
Cleared,5/10/2025,PAYPAL *HOSTINGER 4029357733 DE null XXXXXXXXXXXX8688,4.68,
Cleared,5/8/2025,THE TOLL ROADS OF OC 949-727-4800 CA,22.03,
Cleared,5/7/2025,VISIBLE 8663313527 CO null XXXXXXXXXXXX6872,35,
Cleared,5/6/2025,WALGREENS #5478 RANCHO CUCAMO CA null XXXXXXXXXXXX5782,57.19,
Cleared,5/5/2025,NEW HAVEN ANIMAL HOSPI ONTARIO CA,319.46,
Cleared,5/5/2025,THE TOLL ROADS OF OC 949-727-4800 CA,10.3,
Cleared,5/5/2025,PP*APPLE.COM/BILL 4029357733 CA null XXXXXXXXXXXX8688,26.39,
Cleared,5/5/2025,GOOGLE *Google One 650-253-0000 CA,2.99,
Cleared,5/4/2025,LULULEMON VICTORIA GDN RANCHO CUCAMO CA null XXXXXXXXXXXX5782,105.6,
Cleared,5/4/2025,TST*THE STATE - RANCHO Rancho Cucamo CA,27.63,
Cleared,5/4/2025,GOOGLE *Google One 650-253-0000 CA,2.99,
Cleared,5/3/2025,LiveBarn Clarks green PA null XXXXXXXXXXXX7567,23.95,
Cleared,5/3/2025,KOHLS #1032 EASTVALE CA null XXXXXXXXXXXX5782,93.74,
Cleared,5/3/2025,IMAGE MEDICAL WEIGHT L ONTARIO CA null XXXXXXXXXXXX5782,182,
Cleared,5/2/2025,THE TOLL ROADS OF OC 949-727-4800 CA,11.42,
Cleared,5/2/2025,SP GORJANA LAGUNA BEACH CA null XXXXXXXXXXXX5782,75.43,
Cleared,5/2/2025,THE RINKS - IRVINE INL IRVINE CA null XXXXXXXXXXXX3233,12,
Cleared,5/1/2025,AUTOPAY 200226010559795RAUTOPAY AUTO-PMT,,-2654.66
Cleared,5/1/2025,CLR*9ROUND 951-536431 EASTVALE CA,69,
Cleared,5/1/2025,THE TOLL ROADS OF OC 949-727-4800 CA,6.84,
Cleared,5/1/2025,CORONA INLINE CORONA CA,250,
Cleared,5/1/2025,CALI PIZZA KITC INC #2 RANCHO CUCAMO CA,12.11,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
